CaseID,Opened,Closed,Updated,Status,Responsible Agency,Category,Request Type,Request Details,Address,Neighborhood,Supervisor District,Point,Source,Media URL
3641582,05/14/2014 11:23:21 AM,06/14/2014 11:00:09 AM,06/14/2014 11:00:09 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_other,Building_other - Offensive,"685 MINNA ST, SAN FRANCISCO, CA, 94103",South of Market,6.0,POINT (-122.412288 37.777273),Mobile/Open311,http://mobile311.sfgov.org/reports/3641582/photos
3641579,05/14/2014 11:22:17 AM,06/03/2014 11:07:06 AM,06/03/2014 11:07:06 AM,Closed,PUC Sewer Ops,General Request - PUBLIC WORKS,request_for_service,bssr - request_for_service,Intersection of GEARY BLVD and 25TH AVE,Outer Richmond,1.0,POINT (-122.48473173 37.78009171),Phone,
3641574,05/14/2014 11:18:26 AM,05/14/2014 11:55:14 AM,05/14/2014 11:55:14 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"949 CAPP ST, SAN FRANCISCO, CA, 94110",Mission,9.0,POINT (-122.416969 37.751434),Mobile/Open311,
3641572,05/14/2014 11:17:37 AM,05/15/2014 09:28:15 AM,05/15/2014 09:28:15 AM,Closed,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Out_of_manhole_cover,"255 BEACON ST, SAN FRANCISCO, CA, 94131",Fairmount,8.0,POINT (-122.43245447 37.74046769),Phone,
3641566,05/14/2014 11:15:23 AM,05/15/2014 10:20:45 AM,05/15/2014 10:20:45 AM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,108_General_Careless_Operation,Intersection of VAN NESS AVE and GEARY BLVD,Cathedral Hill,5.0,POINT (-122.42139435 37.78568649),Phone,
3641565,05/14/2014 11:14:56 AM,05/15/2014 04:39:13 PM,05/15/2014 04:39:13 PM,Closed,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_Light_Shield,Other_Request_Light_Shield on Metal Pole,Intersection of HAYES ST and MARKET ST,Civic Center,6.0,POINT (-122.416008 37.77777481),Mobile/Open311,http://mobile311.sfgov.org/reports/3641565/photos
3641563,05/14/2014 11:14:38 AM,05/14/2014 12:11:49 PM,05/14/2014 12:11:49 PM,Closed,311 Service Request Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of 20TH ST and DOLORES ST,Dolores Heights,8.0,POINT (-122.42576825 37.7582262),Phone,
3641558,05/14/2014 11:13:47 AM,05/14/2014 11:40:25 AM,05/14/2014 11:40:25 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of MARIPOSA ST and ALABAMA ST,Mission,9.0,POINT (-122.41217388 37.76291403),Phone,
3641557,05/14/2014 11:13:29 AM,05/15/2014 10:23:46 AM,05/15/2014 10:23:46 AM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,301_Discourtesy_to_Customer,Not associated with a specific address,,,POINT (0 0),Web,
3641554,05/14/2014 11:12:41 AM,05/19/2014 12:00:00 PM,05/19/2014 12:00:00 PM,Closed,DPW BSM Queue,Graffiti,Graffiti on Building_other,Building_other - Not_Offensive,"1275 MARKET ST, SAN FRANCISCO, CA, 94103",South of Market,6.0,POINT (-122.41599 37.777474),Mobile/Open311,http://mobile311.sfgov.org/reports/3641554/photos
3641546,05/14/2014 11:09:50 AM,05/14/2014 11:37:45 AM,05/14/2014 11:37:45 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of 32ND AVE and KIRKHAM ST,Outer Sunset,4.0,POINT (-122.49079646 37.75921692),Phone,
3641540,05/14/2014 11:08:27 AM,05/14/2014 12:14:04 PM,05/14/2014 12:14:04 PM,Closed,PUC - Water - G,Sewer Issues,Water_leak,Other,"376 PROSPECT AVE, SAN FRANCISCO, CA, 94110",Bernal Heights,9.0,POINT (-122.42077328 37.7404719),Phone,
3641537,05/14/2014 11:07:58 AM,05/21/2014 09:24:15 AM,05/21/2014 09:24:15 AM,Closed,PUC Water Quality Queue,General Request - PUC,request_for_service,water_quality - request_for_service,"1044 CASTRO ST, SAN FRANCISCO, CA, 94114",Noe Valley,8.0,POINT (-122.43441772 37.75307465),Web,
3641534,05/14/2014 11:07:42 AM,05/15/2014 10:24:41 AM,05/15/2014 10:24:41 AM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Not associated with a specific address,,,POINT (0 0),Phone,
3641528,05/14/2014 11:06:03 AM,06/24/2014 11:15:57 AM,06/24/2014 11:15:57 AM,Closed,SFMTA - Parking Enforcement - G,General Request - MTA,complaint,parking_enforcement - complaint,Not associated with a specific address,,,POINT (0 0),Web,
3641525,05/14/2014 11:04:37 AM,05/14/2014 08:45:56 AM,05/14/2014 08:45:56 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Glass,Intersection of GRACE ST and MISSION ST,South of Market,6.0,POINT (-122.41394326 37.77437841),Phone,
3641524,05/14/2014 11:04:33 AM,05/20/2014 12:31:51 PM,05/20/2014 12:31:51 PM,Closed,PUC Sewer Ops,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of DIVISADERO ST and BUSH ST,Lower Pacific Heights,2.0,POINT (-122.44006348 37.78617859),Integrated Agency,
3641523,05/14/2014 11:04:31 AM,05/14/2014 12:05:24 PM,05/14/2014 12:05:24 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of 26TH AVE and JUDAH ST,Outer Sunset,4.0,POINT (-122.48449707 37.76137161),Integrated Agency,
3641522,05/14/2014 11:04:27 AM,05/14/2014 11:37:51 AM,05/14/2014 11:37:51 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of ALABAMA ST and 19TH ST,Mission,9.0,POINT (-122.41170502 37.76038361),Integrated Agency,
3641517,05/14/2014 11:03:29 AM,05/20/2014 12:51:25 PM,05/20/2014 12:51:25 PM,Closed,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Sewage_back_up Out_of_manhole_cover,"1044 CASTRO ST, SAN FRANCISCO, CA, 94114",Noe Valley,8.0,POINT (-122.43441772 37.75307465),Web,
3641513,05/14/2014 11:02:14 AM,05/19/2014 06:48:31 AM,05/19/2014 06:48:31 AM,Closed,DPW Ops Queue,Litter Receptacles,Recycling_top_issues,,Intersection of 8TH ST and MISSION ST,South of Market,6.0,POINT (-122.41299727 37.77750018),Mobile/Open311,http://mobile311.sfgov.org/reports/3641513/photos
3641506,05/14/2014 11:00:05 AM,05/17/2014 10:16:44 AM,05/17/2014 10:16:44 AM,Closed,311 Supervisor Queue,General Request - BUILDING INSPECTION,complaint,dbi_other - complaint,Not associated with a specific address,,,POINT (0 0),Web,
3641504,05/14/2014 10:58:58 AM,05/14/2014 11:33:45 AM,05/14/2014 11:33:45 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of SAN JOSE AVE and SADOWA ST,Oceanview,11.0,POINT (-122.45466535 37.71232957),Phone,
3641501,05/14/2014 10:58:38 AM,05/14/2014 02:39:47 PM,05/14/2014 02:39:47 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"469 POTRERO AVE, SAN FRANCISCO, CA, 94110",Potrero Hill,10.0,POINT (-122.407192 37.763671),Mobile/Open311,http://mobile311.sfgov.org/reports/3641501/photos
3641488,05/14/2014 10:55:47 AM,05/17/2014 09:12:02 AM,05/17/2014 09:12:02 AM,Closed,DBI Housing Inspection Queue,Residential Building Request,Building - Mold_and_Mildew,Mold_and_Mildew,"108 WALNUT ST, SAN FRANCISCO, CA, 94118",Presidio Heights,2.0,POINT (-122.44895935 37.79027176),Phone,
3641484,05/14/2014 10:54:23 AM,05/14/2014 08:46:58 AM,05/14/2014 08:46:58 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"116 TAYLOR ST, SAN FRANCISCO, CA, 94102",Tenderloin,5.0,POINT (-122.41073177 37.78339092),Phone,
3641482,05/14/2014 10:53:41 AM,05/15/2014 07:20:17 AM,05/15/2014 07:20:17 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Liquids - Oil/Paint/Other,"1689 GREENWICH ST, SAN FRANCISCO, CA, 94123",Union Street,2.0,POINT (-122.42740836 37.79997178),Phone,
3641477,05/14/2014 10:52:56 AM,05/14/2014 08:46:28 AM,05/14/2014 08:46:28 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of EDDY ST and TAYLOR ST,Tenderloin,5.0,POINT (-122.41095179 37.78414001),Phone,
3641476,05/14/2014 10:52:44 AM,05/14/2014 11:22:00 AM,05/14/2014 11:22:00 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Mail_box,Mail_box - Not_Offensive,Not associated with a specific address,,,POINT (0 0),Web,
3641472,05/14/2014 10:52:06 AM,05/15/2014 10:26:10 AM,05/15/2014 10:26:10 AM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,306_General_Unprofessional_Conduct_Appearance,Intersection of 3RD ST and PALOU AVE,Bayview,10.0,POINT (-122.39096832 37.7340126),Phone,
3641469,05/14/2014 10:51:26 AM,05/14/2014 11:47:42 AM,05/14/2014 11:47:42 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1689 GREENWICH ST, SAN FRANCISCO, CA, 94123",Union Street,2.0,POINT (-122.42740836 37.79997178),Phone,
3641468,05/14/2014 10:51:18 AM,05/14/2014 11:25:22 AM,05/14/2014 11:25:22 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,Intersection of ORANGE ALY and 25TH ST,Mission,9.0,POINT (-122.41993341 37.75053935),Phone,
3641462,05/14/2014 10:49:50 AM,05/17/2014 10:06:17 AM,05/17/2014 10:06:17 AM,Closed,DBI Support Services Queue,General Request - BUILDING INSPECTION,request_for_service,dbi_other - request_for_service,Not associated with a specific address,,,POINT (0 0),Web,
3641457,05/14/2014 10:49:09 AM,05/14/2014 11:14:35 AM,05/14/2014 11:14:35 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of BRYANT ST and 25TH ST,Mission,9.0,POINT (-122.40898132 37.75120163),Integrated Agency,
3641446,05/14/2014 10:48:01 AM,05/16/2014 07:28:53 AM,05/16/2014 07:28:53 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Gold - Toyota - Corolla - 3XCA827,"19 MANGELS AVE, SAN FRANCISCO, CA, 94131",Sunnyside,8.0,POINT (-122.43802643 37.73299408),Web,
3641445,05/14/2014 10:47:32 AM,05/14/2014 08:45:29 AM,05/14/2014 08:45:29 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of TAYLOR ST and GOLDEN GATE AVE,Tenderloin,6.0,POINT (-122.41029352 37.78223059),Phone,
3641444,05/14/2014 10:47:26 AM,05/14/2014 07:20:58 AM,05/14/2014 07:20:58 AM,Closed,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of BEACH ST and TAYLOR ST,Fisherman's Wharf,3.0,POINT (-122.41561882 37.8072756),Phone,
3641443,05/14/2014 10:47:24 AM,05/19/2014 01:39:44 AM,05/19/2014 01:39:44 AM,Closed,DPW Ops Queue,Street Defects,Pavement_Defect,Pavement_Defect,"144 9TH AVE, SAN FRANCISCO, CA, 94118",Inner Richmond,1.0,POINT (-122.46776911 37.78569138),Phone,
3641439,05/14/2014 10:46:57 AM,05/14/2014 11:43:26 AM,05/14/2014 11:43:26 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,Intersection of 18TH AVE and KIRKHAM ST,Golden Gate Heights,7.0,POINT (-122.47579768 37.75987861),Phone,
3641438,05/14/2014 10:46:46 AM,05/20/2014 07:44:05 AM,05/20/2014 07:44:05 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Dark Brown - Honda -  - 4EFW394,"3535 QUINTARA ST, SAN FRANCISCO, CA, 94116",Outer Sunset,4.0,POINT (-122.50348663 37.74729538),Web,
3641432,05/14/2014 10:46:26 AM,05/15/2014 10:28:56 AM,05/15/2014 10:28:56 AM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,,,POINT (0 0),Web,
3641429,05/14/2014 10:46:01 AM,05/14/2014 11:01:00 AM,05/14/2014 11:01:00 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of BEAVER ST and NOE ST,Duboce Triangle,8.0,POINT (-122.433166 37.765014),Mobile/Open311,http://mobile311.sfgov.org/reports/3641429/photos
3641428,05/14/2014 10:45:45 AM,05/14/2014 02:22:40 AM,05/14/2014 02:22:40 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of CALEDONIA ST and 15TH ST,Mission,9.0,POINT (-122.42153115 37.76656909),Phone,
3641426,05/14/2014 10:45:39 AM,05/14/2014 02:28:06 AM,05/14/2014 02:28:06 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of BEAVER ST and NOE ST,Duboce Triangle,8.0,POINT (-122.433166 37.765014),Mobile/Open311,http://mobile311.sfgov.org/reports/3641426/photos
3641423,05/14/2014 10:44:53 AM,05/19/2014 11:27:16 AM,05/19/2014 11:27:16 AM,Closed,DPT - Other - G,General Request - MTA,request_for_service,parking_traffic_other - request_for_service,"23 KENWOOD WAY, SAN FRANCISCO, CA, 94127",Westwood Park,7.0,POINT (-122.46063995 37.72861481),Web,
3641420,05/14/2014 10:44:07 AM,05/14/2014 02:22:40 AM,05/14/2014 02:22:40 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of CALEDONIA ST and 15TH ST,Mission,9.0,POINT (-122.42153115 37.76656909),Phone,
3641419,05/14/2014 10:43:57 AM,05/14/2014 02:18:54 AM,05/14/2014 02:18:54 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damage_vandalism,"950 GOUGH ST, SAN FRANCISCO, CA, 94109",Cathedral Hill,5.0,POINT (-122.42394875 37.78202227),Phone,http://mobile311.sfgov.org/reports/3641419/photos
3641417,05/14/2014 10:43:08 AM,05/14/2014 12:33:34 PM,05/14/2014 12:33:34 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of OAK ST and OCTAVIA ST,Hayes Valley,5.0,POINT (-122.42411695 37.77469767),Mobile/Open311,http://mobile311.sfgov.org/reports/3641417/photos
3641416,05/14/2014 10:43:01 AM,06/06/2014 12:00:00 PM,06/06/2014 12:00:00 PM,Closed,DPW - Bureau of Urban Forestry - G,General Request - PUBLIC WORKS,customer_callback,buf - customer_callback,"2245 FRANKLIN ST, SAN FRANCISCO, CA, 94109",Pacific Heights,2.0,POINT (-122.42502616 37.79501406),Phone,
3641410,05/14/2014 10:41:32 AM,05/14/2014 01:04:41 PM,05/14/2014 01:04:41 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"1180 STANYAN ST, SAN FRANCISCO, CA, 94117",Ashbury Heights,8.0,POINT (-122.45212848 37.7626711),Phone,
3641407,05/14/2014 10:41:14 AM,05/16/2014 07:33:45 AM,05/16/2014 07:33:45 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Red - Ford  - Escort - 4DHG566,"112 SARGENT ST, SAN FRANCISCO, CA, 94132",Merced Heights,11.0,POINT (-122.4636538 37.71618789),Phone,
3641406,05/14/2014 10:40:29 AM,05/16/2014 01:14:34 AM,05/16/2014 01:14:34 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Pole,Pole - Not_Offensive,Intersection of FAXON AVE and WILDWOOD WAY,Westwood Park,7.0,POINT (-122.45987735 37.72758476),Phone,
3641404,05/14/2014 10:38:46 AM,09/25/2014 09:08:21 PM,09/25/2014 09:08:21 PM,Closed,DPT Color Curb Queue,Color Curb,White_Fee Color Curb Request,White_Fee zone for Restaurant,Not associated with a specific address,,,POINT (0 0),Phone,
3641400,05/14/2014 10:38:42 AM,05/14/2014 10:45:56 AM,05/14/2014 10:45:56 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"2245 FRANKLIN ST, SAN FRANCISCO, CA, 94109",Pacific Heights,2.0,POINT (-122.42502616 37.79501406),Phone,
3641393,05/14/2014 10:36:16 AM,05/15/2014 05:37:08 AM,05/15/2014 05:37:08 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_structure,Sidewalk_structure - Not_Offensive,Intersection of MULLEN AVE and BREWSTER ST,Peralta Heights,9.0,POINT (-122.40679541 37.74506379),Phone,
3641387,05/14/2014 10:35:04 AM,05/15/2014 05:36:43 AM,05/15/2014 05:36:43 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_structure,Sidewalk_structure - Not_Offensive,Intersection of FRANCONIA ST and BREWSTER ST,Bernal Heights,9.0,POINT (-122.40810456 37.74310327),Phone,
3641386,05/14/2014 10:34:35 AM,03/25/2017 05:26:32 AM,03/25/2017 05:26:32 AM,Closed,DPW BSM Queue,Sidewalk or Curb,Missing_Side_Sewer_Vent_Cover,Missing_Side_Sewer_Vent_Cover,Intersection of TARAVAL ST and 21ST AVE,Parkside,4.0,POINT (-122.47783828 37.74295331),Phone,
3641379,05/14/2014 10:33:03 AM,05/14/2014 11:48:37 AM,05/14/2014 11:48:37 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"500 46TH AVE, SAN FRANCISCO, CA, 94121",Sutro Heights,1.0,POINT (-122.506966 37.77887),Mobile/Open311,
3641376,05/14/2014 10:32:06 AM,05/19/2014 11:26:49 AM,05/19/2014 11:26:49 AM,Closed,DPT - Other - G,General Request - MTA,followup_request,parking_traffic_other - followup_request,"23 KENWOOD WAY, SAN FRANCISCO, CA, 94127",Westwood Park,7.0,POINT (-122.46063995 37.72861481),Web,
3641374,05/14/2014 10:30:55 AM,06/06/2014 10:17:06 AM,06/06/2014 10:17:06 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,Intersection of NORTON ST and ALEMANY BLVD,Mission Terrace,11.0,POINT (-122.43662137 37.72542019),Phone,
3641372,05/14/2014 10:30:41 AM,05/14/2014 12:19:42 PM,05/14/2014 12:19:42 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of ELM ST and GOUGH ST,Cathedral Hill,5.0,POINT (-122.4238983 37.78119986),Mobile/Open311,http://mobile311.sfgov.org/reports/3641372/photos
3641360,05/14/2014 10:28:41 AM,05/14/2014 11:29:54 AM,05/14/2014 11:29:54 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 32ND AVE and CLEMENT ST,Outer Richmond,1.0,POINT (-122.49237823 37.78167725),Phone,
3641354,05/14/2014 10:27:50 AM,06/19/2014 01:28:35 AM,06/19/2014 01:28:35 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Offensive,"930 GOUGH ST, SAN FRANCISCO, CA, 94109",Cathedral Hill,2.0,POINT (-122.42403415 37.78194702),Mobile/Open311,http://mobile311.sfgov.org/reports/3641354/photos
3641352,05/14/2014 10:26:48 AM,05/14/2014 12:27:31 PM,05/14/2014 12:27:31 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"950 GOUGH ST, SAN FRANCISCO, CA, 94109",Cathedral Hill,2.0,POINT (-122.4240533 37.78197665),Mobile/Open311,http://mobile311.sfgov.org/reports/3641352/photos
3641346,05/14/2014 10:25:38 AM,05/14/2014 11:17:02 AM,05/14/2014 11:17:02 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"160 JERROLD AVE, SAN FRANCISCO, CA, 94124",Hunters Point,10.0,POINT (-122.3718054 37.7288769),Phone,
3641342,05/14/2014 10:24:57 AM,05/14/2014 02:18:54 AM,05/14/2014 02:18:54 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"950 GOUGH ST, SAN FRANCISCO, CA, 94109",Cathedral Hill,2.0,POINT (-122.42398101 37.78204864),Mobile/Open311,http://mobile311.sfgov.org/reports/3641342/photos
3641338,05/14/2014 10:23:53 AM,05/15/2014 09:02:09 AM,05/15/2014 09:02:09 AM,Closed,PUC Sewer Ops,General Request - PUC,request_for_service,sewer - request_for_service,"1287 GENEVA AVE, SAN FRANCISCO, CA, 94112",Excelsior,11.0,POINT (-122.43469317 37.71365646),Phone,
3641334,05/14/2014 10:23:12 AM,05/15/2014 09:50:22 AM,05/15/2014 09:50:22 AM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Planning,701_Insufficient_Frequency,Not associated with a specific address,,,POINT (0 0),Web,
3641333,05/14/2014 10:23:09 AM,05/14/2014 02:26:55 AM,05/14/2014 02:26:55 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"715 SHOTWELL ST, SAN FRANCISCO, CA, 94110",Mission,9.0,POINT (-122.41543579 37.75673676),Phone,
3641330,05/14/2014 10:21:19 AM,05/19/2014 07:32:57 AM,05/19/2014 07:32:57 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - SUV,Dark Blue - Land_Rover -  - 5YUB048,"63 VALLEY ST, SAN FRANCISCO, CA, 94110",Noe Valley,8.0,POINT (-122.42346954 37.7445488),Web,
3641327,05/14/2014 10:21:06 AM,05/15/2014 10:12:20 AM,05/15/2014 10:12:20 AM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,302_Altercation_Employee_Customer,Not associated with a specific address,,,POINT (0 0),Web,
3641326,05/14/2014 10:20:56 AM,05/16/2014 03:05:54 AM,05/16/2014 03:05:54 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Blocking_sidewalk,"4622 CABRILLO ST, SAN FRANCISCO, CA, 94121",Outer Richmond,1.0,POINT (-122.50815116 37.77339906),Phone,
3641325,05/14/2014 10:20:50 AM,05/20/2014 07:40:50 AM,05/20/2014 07:40:50 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,Gray - Dodge - Carvan - 6KSH163,"1754 32ND AVE, SAN FRANCISCO, CA, 94122",Outer Sunset,4.0,POINT (-122.49039251 37.75447149),Phone,
3641324,05/14/2014 10:20:43 AM,05/19/2014 09:00:00 AM,05/19/2014 09:00:00 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_structure,Sidewalk_structure - Offensive,"1610 POST ST, SAN FRANCISCO, CA, 94115",Japantown,5.0,POINT (-122.42842927 37.78588135),Mobile/Open311,http://mobile311.sfgov.org/reports/3641324/photos
3641319,05/14/2014 10:19:28 AM,05/17/2014 02:04:37 AM,05/17/2014 02:04:37 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_structure,Sidewalk_structure - Offensive,Intersection of GREENWICH ST and SANSOME ST,Northern Waterfront,3.0,POINT (-122.40316217 37.80309873),Phone,
3641315,05/14/2014 10:17:25 AM,05/16/2014 09:00:00 AM,05/16/2014 09:00:00 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Pole,Pole - Not_Offensive,"1850 POST ST, SAN FRANCISCO, CA, 94115",Japantown,5.0,POINT (-122.43247696 37.78524241),Mobile/Open311,http://mobile311.sfgov.org/reports/3641315/photos
3641313,05/14/2014 10:16:48 AM,05/14/2014 08:47:29 AM,05/14/2014 08:47:29 AM,Closed,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"160 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",South of Market,6.0,POINT (-122.41822052 37.77101517),Phone,http://mobile311.sfgov.org/reports/3641313/photos
3641310,05/14/2014 10:16:29 AM,07/09/2014 05:08:33 PM,07/09/2014 05:08:33 PM,Closed,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,"300 GREENWICH ST, SAN FRANCISCO, CA, 94133",Telegraph Hill,3.0,POINT (-122.40505219 37.80304337),Phone,
3641309,05/14/2014 10:16:28 AM,05/15/2014 10:27:24 AM,05/15/2014 10:27:24 AM,Closed,RecPark Work Queue,Sign Repair,Sign - Defaced,Other - Defaced; support - OK,Intersection of EXCELSIOR AVE and,Excelsior,11.0,POINT (-122.42499537 37.72227088),Mobile/Open311,http://mobile311.sfgov.org/reports/3641309/photos
3641306,05/14/2014 10:15:18 AM,05/16/2014 09:00:00 AM,05/16/2014 09:00:00 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,Intersection of POST ST and STEINER ST,Lower Pacific Heights,5.0,POINT (-122.43473375 37.78492469),Mobile/Open311,http://mobile311.sfgov.org/reports/3641306/photos
3641304,05/14/2014 10:14:29 AM,05/14/2014 02:05:58 PM,05/14/2014 02:05:58 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"90 NATOMA ST, SAN FRANCISCO, CA, 94105",South of Market,6.0,POINT (-122.39856657 37.78746881),Phone,
3641295,05/14/2014 10:13:02 AM,06/27/2014 11:55:47 AM,06/27/2014 11:55:47 AM,Closed,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Sign - Defaced,Other - Defaced; support - OK,Intersection of GEARY BLVD and STEINER ST,Western Addition,5.0,POINT (-122.43452811 37.78427445),Mobile/Open311,http://mobile311.sfgov.org/reports/3641295/photos
3641293,05/14/2014 10:12:20 AM,05/19/2014 09:00:00 AM,05/19/2014 09:00:00 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Street,Street - Offensive,Intersection of GEARY BLVD and STEINER ST,Western Addition,5.0,POINT (-122.43453314 37.7842957),Mobile/Open311,http://mobile311.sfgov.org/reports/3641293/photos
3641290,05/14/2014 10:11:13 AM,09/10/2014 12:06:18 PM,09/10/2014 12:06:18 PM,Closed,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Sign - Defaced,Other - Defaced; support - OK,Intersection of GEARY BLVD and STEINER ST,Western Addition,5.0,POINT (-122.43447522 37.78423393),Mobile/Open311,http://mobile311.sfgov.org/reports/3641290/photos
3641288,05/14/2014 10:10:24 AM,05/14/2014 10:33:36 AM,05/14/2014 10:33:36 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of ALABAMA ST and 25TH ST,Mission,9.0,POINT (-122.41081238 37.751091),Phone,
3641286,05/14/2014 10:08:52 AM,05/14/2014 11:24:21 AM,05/14/2014 11:24:21 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of ALEMANY BLVD and BRIGHT ST,Merced Heights,7.0,POINT (-122.46347445 37.7113617),Phone,
